"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2094","Registration with correct email, username and password","LMS system","Wed Mar 18 16:36:58 UTC 2026","passed","Wed Mar 18 16:37:00 UTC 2026","Registration","Authentication","",""
"","1382","test_empty_courses_list[chromium]","LMS system","Wed Mar 18 16:37:02 UTC 2026","passed","Wed Mar 18 16:37:04 UTC 2026","Courses","Courses","",""
"","1826","test_dashboard_displaying[chromium]","LMS system","Wed Mar 18 16:37:06 UTC 2026","passed","Wed Mar 18 16:37:07 UTC 2026","Dashboard","Dashboard","",""
"","1876","Wrong email or password authorization","LMS system","Wed Mar 18 16:36:54 UTC 2026","passed","Wed Mar 18 16:36:56 UTC 2026","Authorization","Authentication","",""
"","2006","Wrong email or password authorization","LMS system","Wed Mar 18 16:36:54 UTC 2026","passed","Wed Mar 18 16:36:56 UTC 2026","Authorization","Authentication","",""
"","3177","User login with correct email and password","LMS system","Wed Mar 18 16:36:58 UTC 2026","passed","Wed Mar 18 16:37:01 UTC 2026","Authorization","Authentication","",""
"","2106","test_create_course[chromium]","LMS system","Wed Mar 18 16:37:03 UTC 2026","passed","Wed Mar 18 16:37:05 UTC 2026","Courses","Courses","",""
"","1446","Navigation from login page to registration page","LMS system","Wed Mar 18 16:36:56 UTC 2026","passed","Wed Mar 18 16:36:58 UTC 2026","Authorization","Authentication","",""
"","1566","Wrong email or password authorization","LMS system","Wed Mar 18 16:36:56 UTC 2026","passed","Wed Mar 18 16:36:58 UTC 2026","Authorization","Authentication","",""
"","2951","test_edit_course[chromium]","LMS system","Wed Mar 18 16:37:04 UTC 2026","passed","Wed Mar 18 16:37:07 UTC 2026","Courses","Courses","",""
